npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:3000
 HTTP  4/2/2026 3:18:05 AM ::1 GET /
 HTTP  4/2/2026 3:18:05 AM ::1 Returned 200 in 19 ms
 HTTP  4/2/2026 3:18:05 AM ::1 GET /assets/index-CjAm8c-l.js
 HTTP  4/2/2026 3:18:05 AM ::1 GET /assets/index-Dfeo4MT9.css
 HTTP  4/2/2026 3:18:05 AM ::1 Returned 200 in 6 ms
 HTTP  4/2/2026 3:18:05 AM ::1 Returned 200 in 11 ms
 HTTP  4/2/2026 3:18:05 AM ::1 GET /assets/favicon-D3ZE49XR.png
 HTTP  4/2/2026 3:18:05 AM ::1 Returned 200 in 4 ms
 HTTP  4/2/2026 3:18:07 AM ::1 GET /dashboard
 HTTP  4/2/2026 3:18:07 AM ::1 Returned 200 in 2 ms
 HTTP  4/2/2026 3:18:07 AM ::1 GET /assets/index-CjAm8c-l.js
 HTTP  4/2/2026 3:18:07 AM ::1 GET /assets/index-Dfeo4MT9.css
 HTTP  4/2/2026 3:18:07 AM ::1 Returned 304 in 2 ms
 HTTP  4/2/2026 3:18:07 AM ::1 Returned 304 in 1 ms
 HTTP  4/2/2026 3:18:07 AM ::1 GET /assets/favicon-D3ZE49XR.png
 HTTP  4/2/2026 3:18:07 AM ::1 Returned 304 in 2 ms
 HTTP  4/2/2026 3:18:07 AM ::1 GET /api/auth/session
 HTTP  4/2/2026 3:18:07 AM ::1 Returned 200 in 5 ms
 HTTP  4/2/2026 3:18:38 AM ::1 GET /auth/login
 HTTP  4/2/2026 3:18:38 AM ::1 Returned 200 in 2 ms
 HTTP  4/2/2026 3:18:38 AM ::1 GET /assets/index-CjAm8c-l.js
 HTTP  4/2/2026 3:18:38 AM ::1 GET /assets/index-Dfeo4MT9.css
 HTTP  4/2/2026 3:18:38 AM ::1 Returned 200 in 2 ms
 HTTP  4/2/2026 3:18:38 AM ::1 Returned 200 in 3 ms
 HTTP  4/2/2026 3:18:39 AM ::1 GET /assets/favicon-D3ZE49XR.png
 HTTP  4/2/2026 3:18:39 AM ::1 Returned 200 in 2 ms
 HTTP  4/2/2026 3:18:40 AM ::1 GET /auth/login
 HTTP  4/2/2026 3:18:40 AM ::1 Returned 304 in 1 ms
 HTTP  4/2/2026 3:18:40 AM ::1 GET /assets/index-Dfeo4MT9.css
 HTTP  4/2/2026 3:18:40 AM ::1 GET /assets/index-CjAm8c-l.js
 HTTP  4/2/2026 3:18:40 AM ::1 Returned 304 in 2 ms
 HTTP  4/2/2026 3:18:40 AM ::1 Returned 304 in 3 ms
 HTTP  4/2/2026 3:18:40 AM ::1 GET /assets/favicon-D3ZE49XR.png
 HTTP  4/2/2026 3:18:40 AM ::1 Returned 304 in 1 ms
 HTTP  4/2/2026 3:18:40 AM ::1 GET /api/auth/session
 HTTP  4/2/2026 3:18:40 AM ::1 Returned 200 in 1 ms
 HTTP  4/2/2026 3:20:12 AM ::1 GET /auth/login
 HTTP  4/2/2026 3:20:12 AM ::1 Returned 200 in 2 ms
 HTTP  4/2/2026 3:20:12 AM ::1 GET /assets/index-CjAm8c-l.js
 HTTP  4/2/2026 3:20:12 AM ::1 Returned 200 in 2 ms
 HTTP  4/2/2026 3:20:12 AM ::1 GET /assets/index-Dfeo4MT9.css
 HTTP  4/2/2026 3:20:12 AM ::1 Returned 200 in 1 ms
 HTTP  4/2/2026 3:20:12 AM ::1 GET /assets/favicon-D3ZE49XR.png
 HTTP  4/2/2026 3:20:12 AM ::1 Returned 200 in 1 ms
 HTTP  4/2/2026 3:20:13 AM ::1 GET /auth/login
 HTTP  4/2/2026 3:20:13 AM ::1 Returned 304 in 1 ms
 HTTP  4/2/2026 3:20:13 AM ::1 GET /assets/index-Dfeo4MT9.css
 HTTP  4/2/2026 3:20:13 AM ::1 GET /assets/index-CjAm8c-l.js
 HTTP  4/2/2026 3:20:13 AM ::1 Returned 304 in 2 ms
 HTTP  4/2/2026 3:20:13 AM ::1 Returned 304 in 1 ms
 HTTP  4/2/2026 3:20:13 AM ::1 GET /assets/favicon-D3ZE49XR.png
 HTTP  4/2/2026 3:20:13 AM ::1 Returned 304 in 1 ms
 HTTP  4/2/2026 3:20:13 AM ::1 GET /api/auth/session
 HTTP  4/2/2026 3:20:13 AM ::1 Returned 200 in 1 ms
 HTTP  4/2/2026 3:20:15 AM ::1 GET /dashboard
 HTTP  4/2/2026 3:20:15 AM ::1 Returned 200 in 1 ms
 HTTP  4/2/2026 3:20:15 AM ::1 GET /assets/index-Dfeo4MT9.css
 HTTP  4/2/2026 3:20:15 AM ::1 GET /assets/index-CjAm8c-l.js
 HTTP  4/2/2026 3:20:15 AM ::1 Returned 304 in 3 ms
 HTTP  4/2/2026 3:20:15 AM ::1 Returned 304 in 4 ms
 HTTP  4/2/2026 3:20:15 AM ::1 GET /assets/favicon-D3ZE49XR.png
 HTTP  4/2/2026 3:20:15 AM ::1 Returned 304 in 1 ms
 HTTP  4/2/2026 3:24:55 AM ::1 GET /
 HTTP  4/2/2026 3:24:55 AM ::1 Returned 200 in 2 ms
 HTTP  4/2/2026 3:24:55 AM ::1 GET /assets/index-CjAm8c-l.js
 HTTP  4/2/2026 3:24:55 AM ::1 GET /assets/index-Dfeo4MT9.css
 HTTP  4/2/2026 3:24:55 AM ::1 Returned 200 in 1 ms
 HTTP  4/2/2026 3:24:55 AM ::1 Returned 200 in 1 ms
 HTTP  4/2/2026 3:24:55 AM ::1 GET /assets/favicon-D3ZE49XR.png
 HTTP  4/2/2026 3:24:55 AM ::1 Returned 200 in 1 ms
 HTTP  4/2/2026 3:24:55 AM ::1 GET /
 HTTP  4/2/2026 3:24:55 AM ::1 Returned 200 in 2 ms
 HTTP  4/2/2026 3:24:55 AM ::1 GET /assets/index-CjAm8c-l.js
 HTTP  4/2/2026 3:24:55 AM ::1 Returned 200 in 2 ms
 HTTP  4/2/2026 3:24:55 AM ::1 GET /assets/index-Dfeo4MT9.css
 HTTP  4/2/2026 3:24:55 AM ::1 Returned 200 in 1 ms
 HTTP  4/2/2026 3:24:55 AM ::1 GET /assets/favicon-D3ZE49XR.png
 HTTP  4/2/2026 3:24:55 AM ::1 Returned 200 in 1 ms
 HTTP  4/2/2026 3:24:55 AM ::1 GET /api/teams
 HTTP  4/2/2026 3:24:55 AM ::1 Returned 200 in 1 ms
 HTTP  4/2/2026 3:24:55 AM ::1 GET /api/profile
 HTTP  4/2/2026 3:24:55 AM ::1 Returned 200 in 1 ms
 HTTP  4/2/2026 3:25:51 AM ::1 GET /
 HTTP  4/2/2026 3:25:51 AM ::1 Returned 200 in 1 ms
 HTTP  4/2/2026 3:25:51 AM ::1 GET /assets/index-CjAm8c-l.js
 HTTP  4/2/2026 3:25:51 AM ::1 Returned 200 in 1 ms
 HTTP  4/2/2026 3:25:51 AM ::1 GET /assets/index-Dfeo4MT9.css
 HTTP  4/2/2026 3:25:51 AM ::1 Returned 200 in 1 ms
 HTTP  4/2/2026 3:25:51 AM ::1 GET /assets/favicon-D3ZE49XR.png
 HTTP  4/2/2026 3:25:51 AM ::1 Returned 200 in 1 ms
 HTTP  4/2/2026 3:25:52 AM ::1 GET /dashboard
 HTTP  4/2/2026 3:25:52 AM ::1 Returned 200 in 3 ms
 HTTP  4/2/2026 3:25:52 AM ::1 GET /assets/index-Dfeo4MT9.css
 HTTP  4/2/2026 3:25:52 AM ::1 GET /assets/index-CjAm8c-l.js
 HTTP  4/2/2026 3:25:52 AM ::1 Returned 200 in 1 ms
 HTTP  4/2/2026 3:25:52 AM ::1 Returned 200 in 1 ms
 HTTP  4/2/2026 3:25:52 AM ::1 GET /assets/favicon-D3ZE49XR.png
 HTTP  4/2/2026 3:25:52 AM ::1 Returned 200 in 1 ms
 HTTP  4/2/2026 3:25:52 AM ::1 GET /api/teams
 HTTP  4/2/2026 3:25:52 AM ::1 GET /api/profile
 HTTP  4/2/2026 3:25:52 AM ::1 Returned 200 in 3 ms
 HTTP  4/2/2026 3:25:52 AM ::1 Returned 200 in 3 ms
 HTTP  4/2/2026 3:25:52 AM ::1 GET /api/profile
 HTTP  4/2/2026 3:25:52 AM ::1 Returned 200 in 3 ms
